Date,Close,NominalReturn_BCOMTR
1973/01,6.35,0.0586
1973/02,7.18,0.1308
1973/03,6.89,-0.0408
1973/04,7.94,0.1533
1973/05,10.32,0.2991
1973/06,10.32,0.0000
1973/07,13.36,0.2951
1973/08,12.95,-0.0305
1973/09,12.95,-0.0004
1973/10,11.68,-0.0979
1973/11,12.67,0.0851
1973/12,13.7,0.0811
1974/01,15.08,0.1006
1974/02,15.31,0.0151
1974/03,14.72,-0.0387
1974/04,14.89,0.0117
1974/05,14.14,-0.0501
1974/06,15.52,0.0972
1974/07,20.18,0.3006
1974/08,18.61,-0.0778
1974/09,21.22,0.1404
1974/10,21.62,0.0186
1974/11,21.55,-0.0034
1974/12,19.76,-0.0827
1975/01,17.58,-0.1103
1975/02,16.54,-0.0595
1975/03,17.74,0.0727
1975/04,16.86,-0.0499
1975/05,16.85,-0.0002
1975/06,17.17,0.0191
1975/07,18.99,0.1055
1975/08,19.32,0.0174
1975/09,19.13,-0.0095
1975/10,17.97,-0.0609
1975/11,17.8,-0.0092
1975/12,17.78,-0.0013
1976/01,17.46,-0.0180
1976/02,18.11,0.0376
1976/03,17.79,-0.0178
1976/04,18.59,0.0448
1976/05,19.83,0.0665
1976/06,20.88,0.0530
1976/07,19.34,-0.0736
1976/08,19.62,0.0144
1976/09,19.61,-0.0003
1976/10,20.47,0.0439
1976/11,20.56,0.0041
1976/12,21.53,0.0471
1977/01,21.85,0.0149
1977/02,22.84,0.0454
1977/03,24.1,0.0554
1977/04,24.8,0.0288
1977/05,24.04,-0.0304
1977/06,22.53,-0.0630
1977/07,21.01,-0.0672
1977/08,20.34,-0.0319
1977/09,21.19,0.0415
1977/10,21.92,0.0346
1977/11,22.5,0.0264
1977/12,23.18,0.0304
1978/01,23.35,0.0074
1978/02,23.79,0.0189
1978/03,26.14,0.0985
1978/04,25.91,-0.0086
1978/05,27.8,0.0727
1978/06,26.23,-0.0565
1978/07,26.62,0.0149
1978/08,27.5,0.0329
1978/09,28.55,0.0384
1978/10,30.48,0.0673
1978/11,28.86,-0.0529
1978/12,29.63,0.0266
1979/01,30.42,0.0266
1979/02,32.41,0.0654
1979/03,32.17,-0.0074
1979/04,33.19,0.0316
1979/05,34.17,0.0297
1979/06,36.08,0.0558
1979/07,35.11,-0.0267
1979/08,38.21,0.0881
1979/09,43.05,0.1267
1979/10,41.87,-0.0273
1979/11,45.15,0.0783
1979/12,51.35,0.1374
1980/01,58.56,0.1405
1980/02,57.55,-0.0173
1980/03,49.67,-0.1370
1980/04,49.86,0.0039
1980/05,52.54,0.0537
1980/06,55.8,0.0620
1980/07,57.92,0.0379
1980/08,59.61,0.0293
1980/09,61.61,0.0334
1980/10,63.82,0.0359
1980/11,63.2,-0.0096
1980/12,58.49,-0.0745
1981/01,53.25,-0.0897
1981/02,52.67,-0.0108
1981/03,53.53,0.0162
1981/04,52.38,-0.0215
1981/05,51.01,-0.0262
1981/06,46.85,-0.0814
1981/07,48.99,0.0457
1981/08,47.26,-0.0354
1981/09,47.58,0.0068
1981/10,47.78,0.0042
1981/11,45.66,-0.0442
1981/12,44.25,-0.0310
1982/01,45.79,0.0350
1982/02,44.23,-0.0341
1982/03,43.52,-0.0162
1982/04,44.65,0.0261
1982/05,43.18,-0.0329
1982/06,42.3,-0.0204
1982/07,42.42,0.0029
1982/08,43.13,0.0166
1982/09,42.18,-0.0220
