Date,Close,NominalReturn_FNERTR
1973/01,109.64,0.0151
1973/02,103.59,-0.0552
1973/03,106.05,0.0237
1973/04,101.07,-0.047
1973/05,98.21,-0.0283
1973/06,100.3,0.0213
1973/07,103.82,0.0351
1973/08,98.97,-0.0467
1973/09,105.39,0.0649
1973/10,106.35,0.0091
1973/11,91.46,-0.14
1973/12,91.25,-0.0023
1974/01,95.43,0.0458
1974/02,99.53,0.043
1974/03,97.36,-0.0218
1974/04,92.02,-0.0548
1974/05,85.56,-0.0702
1974/06,86.89,0.0155
1974/07,80.25,-0.0764
1974/08,74.2,-0.0754
1974/09,73.84,-0.0049
1974/10,77.01,0.0429
1974/11,72.89,-0.0535
1974/12,71.72,-0.0161
1975/01,81.82,0.1408
1975/02,83.81,0.0243
1975/03,86.17,0.0282
1975/04,88.54,0.0275
1975/05,87.33,-0.0137
1975/06,92.78,0.0624
1975/07,91.37,-0.0152
1975/08,89.97,-0.0153
1975/09,84.3,-0.063
1975/10,82.23,-0.0246
1975/11,83.62,0.0169
1975/12,85.56,0.0232
1976/01,97.27,0.1369
1976/02,102.07,0.0493
1976/03,102.49,0.0041
1976/04,104.39,0.0185
1976/05,101.46,-0.0281
1976/06,105.51,0.0399
1976/07,108.17,0.0252
1976/08,112.16,0.0369
1976/09,113.29,0.0101
1976/10,114.6,0.0116
1976/11,118.41,0.0332
1976/12,126.28,0.0665
1977/01,133.62,0.0581
1977/02,134.95,0.01
1977/03,135.84,0.0066
1977/04,137.62,0.0131
1977/05,138.09,0.0034
1977/06,144,0.0428
1977/07,144.33,0.0023
1977/08,144.57,0.0017
1977/09,145.28,0.0049
1977/10,145.25,-0.0002
1977/11,151.73,0.0446
1977/12,154.59,0.0188
1978/01,151.05,-0.0229
1978/02,153.22,0.0144
1978/03,160.5,0.0475
1978/04,165.84,0.0333
1978/05,160.88,-0.0299
1978/06,159.68,-0.0075
1978/07,164.98,0.0332
1978/08,172.15,0.0435
1978/09,172.19,0.0002
1978/10,159.2,-0.0754
1978/11,164.42,0.0328
1978/12,170.57,0.0374
1979/01,177.23,0.039
1979/02,180.89,0.0207
1979/03,193.95,0.0722
1979/04,195.45,0.0077
1979/05,193.61,-0.0094
1979/06,211.42,0.092
1979/07,220.54,0.0431
1979/08,248.33,0.126
1979/09,242.65,-0.0229
1979/10,216.81,-0.1065
1979/11,224.41,0.0351
1979/12,231.73,0.0326
1980/01,249.11,0.075
1980/02,252.08,0.0119
1980/03,221.44,-0.1215
1980/04,220.76,-0.0031
1980/05,232.01,0.051
1980/06,248.21,0.0698
1980/07,267.55,0.0779
1980/08,275.66,0.0303
1980/09,271.15,-0.0164
1980/10,298.85,0.1022
1980/11,292.93,-0.0198
1980/12,288.2,-0.0161
1981/01,294.13,0.0206
1981/02,296.76,0.0089
1981/03,304.26,0.0253
1981/04,308.81,0.015
1981/05,307.65,-0.0038
1981/06,314.81,0.0233
1981/07,312.44,-0.0075
1981/08,300.53,-0.0381
1981/09,281.13,-0.0646
1981/10,295.35,0.0506
1981/11,306.33,0.0372
1981/12,305.5,-0.0027
1982/01,304.3,-0.0039
1982/02,298.69,-0.0184
1982/03,294.22,-0.015
1982/04,302.49,0.0281
1982/05,302.43,-0.0002
1982/06,291.02,-0.0377
1982/07,292.31,0.0044
1982/08,303.04,0.0367
1982/09,316.98,0.046
1982/10,349.07,0.1012
1982/11,362.09,0.0373
1982/12,371.49,0.026
1983/01,386.38,0.0401
1983/02,383.91,-0.0064
1983/03,420.06,0.0942
1983/04,446.92,0.0639
1983/05,452.62,0.0128
1983/06,460.65,0.0177
1983/07,449.52,-0.0242
1983/08,448.24,-0.0028
1983/09,443.02,-0.0116
1983/10,457.83,0.0334
1983/11,467.42,0.0209
1983/12,485.3,0.0383
1984/01,503.27,0.037
1984/02,506.44,0.0063
1984/03,506.8,0.0007
1984/04,513.96,0.0141
1984/05,503.75,-0.0199
1984/06,503.75,0
1984/07,495.22,-0.0169
1984/08,515.92,0.0418
1984/09,552.43,0.0708
1984/10,563.97,0.0209
1984/11,575.34,0.0202
1984/12,586.86,0.02
1985/01,615.52,0.0488
1985/02,632.34,0.0273
1985/03,642.3,0.0158
1985/04,648.36,0.0094
1985/05,668.47,0.031
1985/06,682.14,0.0205
1985/07,695.28,0.0193
1985/08,678.26,-0.0245
1985/09,664.52,-0.0203
1985/10,683.23,0.0282
1985/11,680.24,-0.0044
1985/12,698.93,0.0275
1986/01,729.88,0.0443
1986/02,744.9,0.0206
1986/03,794.53,0.0666
1986/04,793.19,-0.0017
1986/05,779.74,-0.017
1986/06,819.64,0.0512
1986/07,815.35,-0.0052
1986/08,842.41,0.0332
1986/09,835.48,-0.0082
1986/10,854.28,0.0225
1986/11,848.27,-0.007
1986/12,832.83,-0.0182
1987/01,879.5,0.056
1987/02,911.03,0.0359
1987/03,912.7,0.0018
1987/04,901.69,-0.0121
1987/05,894.84,-0.0076
1987/06,919.54,0.0276
1987/07,919.58,0
1987/08,897.59,-0.0239
1987/09,890.64,-0.0077
1987/10,754.91,-0.1524
1987/11,771.92,0.0225
1987/12,802.51,0.0396
1988/01,846.49,0.0548
1988/02,878.86,0.0382
1988/03,883.23,0.005
1988/04,889.37,0.007
1988/05,876.25,-0.0148
1988/06,906.69,0.0347
1988/07,916.38,0.0107
1988/08,912.1,-0.0047
1988/09,917.24,0.0056
1988/10,913.22,-0.0044
1988/11,894.73,-0.0202
1988/12,910.74,0.0179
1989/01,930.92,0.0222
1989/02,928.15,-0.003
1989/03,932.46,0.0046
1989/04,958.81,0.0283
1989/05,967.76,0.0093
1989/06,986.52,0.0194
1989/07,1022.98,0.037
1989/08,1032.42,0.0092
1989/09,1022.76,-0.0094
1989/10,996.38,-0.0258
1989/11,993.25,-0.0031
1989/12,991.26,-0.002
1990/01,950.14,-0.0415
1990/02,943.47,-0.007
1990/03,952.88,0.01
1990/04,936.32,-0.0174
1990/05,935.6,-0.0008
1990/06,951.76,0.0173
1990/07,943.09,-0.0091
1990/08,875.17,-0.072
1990/09,813.28,-0.0707
1990/10,785.86,-0.0337
1990/11,841.63,0.071
1990/12,839.09,-0.003
1991/01,930.88,0.1094
1991/02,947.73,0.0181
1991/03,1029.89,0.0867
1991/04,1055.97,0.0253
1991/05,1067.71,0.0111
1991/06,1037.91,-0.0279
1991/07,1058.85,0.0202
1991/08,1054.57,-0.004
1991/09,1080.39,0.0245
1991/10,1068.52,-0.011
1991/11,1062.58,-0.0056
1991/12,1138.61,0.0716
1992/01,1194.06,0.0487
1992/02,1165.5,-0.0239
1992/03,1146.15,-0.0166
1992/04,1142.08,-0.0036
1992/05,1191.99,0.0437
1992/06,1176.38,-0.0131
1992/07,1227.49,0.0434
1992/08,1231.27,0.0031
1992/09,1256.65,0.0206
1992/10,1255.04,-0.0013
1992/11,1281.61,0.0212
1992/12,1304.73,0.018
1993/01,1388.46,0.0642
1993/02,1463.11,0.0538
1993/03,1587.08,0.0847
1993/04,1517.18,-0.044
1993/05,1493.13,-0.0159
1993/06,1541.53,0.0324
1993/07,1568.45,0.0175
1993/08,1607.18,0.0247
1993/09,1685.64,0.0488
1993/10,1653.5,-0.0191
1993/11,1563.83,-0.0542
1993/12,1561.17,-0.0017
1994/01,1606.61,0.0291
1994/02,1676.38,0.0434
1994/03,1614.31,-0.037
1994/04,1641.72,0.017
1994/05,1678.26,0.0223
1994/06,1644.03,-0.0204
1994/07,1635.99,-0.0049
1994/08,1640.88,0.003
1994/09,1610.41,-0.0186
1994/10,1554.55,-0.0347
1994/11,1501.09,-0.0344
1994/12,1610.67,0.073
1995/01,1575.5,-0.0218
1995/02,1614.41,0.0247
1995/03,1607.94,-0.004
1995/04,1607.53,-0.0003
1995/05,1675.84,0.0425
1995/06,1702.51,0.0159
1995/07,1731.85,0.0172
1995/08,1752.64,0.012
1995/09,1782.69,0.0171
1995/10,1744.5,-0.0214
1995/11,1760.45,0.0091
1995/12,1856.57,0.0546
1996/01,1887.12,0.0165
1996/02,1909.21,0.0117
1996/03,1898.79,-0.0055
1996/04,1908.42,0.0051
1996/05,1957.73,0.0258
1996/06,1983.25,0.013
1996/07,1998.22,0.0075
1996/08,2076.88,0.0394
1996/09,2113.03,0.0174
1996/10,2175.76,0.0297
