Date,Close,NominalReturn_LUATTRUU
1973/01,98.99,0.0000
1973/02,98.73,-0.0026
1973/03,98.73,0.0000
1973/04,99.66,0.0094
1973/05,99.88,0.0022
1973/06,100.15,0.0027
1973/07,98.04,-0.0211
1973/08,99.96,0.0196
1973/09,102.16,0.0220
1973/10,103.01,0.0083
1973/11,103.61,0.0058
1973/12,103.51,-0.0010
1974/01,104.25,0.0071
1974/02,104.6,0.0034
1974/03,102.91,-0.0162
1974/04,102.08,-0.0081
1974/05,103.33,0.0122
1974/06,103.3,-0.0003
1974/07,103.44,0.0014
1974/08,103.5,0.0006
1974/09,106.05,0.0246
1974/10,107.31,0.0119
1974/11,109.46,0.0200
1974/12,110.81,0.0123
1975/01,112.09,0.0116
1975/02,113.46,0.0122
1975/03,113.02,-0.0039
1975/04,111.47,-0.0137
1975/05,113.71,0.0201
1975/06,114.2,0.0043
1975/07,113.85,-0.0031
1975/08,114.26,0.0036
1975/09,114.03,-0.0020
1975/10,117.57,0.0310
1975/11,117.5,-0.0006
1975/12,119.75,0.0191
1976/01,120.98,0.0103
1976/02,121.19,0.0017
1976/03,122.42,0.0101
1976/04,123.23,0.0066
1976/05,122.36,-0.0071
1976/06,123.97,0.0132
1976/07,125.22,0.0101
1976/08,126.98,0.0141
1976/09,128.14,0.0091
1976/10,129.65,0.0118
1976/11,132.68,0.0234
1976/12,133.9,0.0092
1977/01,131.65,-0.0168
1977/02,132.37,0.0055
1977/03,133.28,0.0069
1977/04,134.04,0.0057
1977/05,134.81,0.0057
1977/06,136.3,0.0111
1977/07,135.73,-0.0042
1977/08,136.8,0.0079
1977/09,136.82,0.0001
1977/10,136.27,-0.0040
1977/11,137.49,0.0090
1977/12,137.48,-0.0001
1978/01,137.59,0.0008
1978/02,137.9,0.0023
1978/03,138.3,0.0029
1978/04,138.6,0.0022
1978/05,138.71,0.0008
1978/06,138.48,-0.0017
1978/07,139.79,0.0095
1978/08,141.1,0.0094
1978/09,141.4,0.0021
1978/10,139.82,-0.0112
1978/11,141.13,0.0094
1978/12,140.31,-0.0058
1979/01,142.87,0.0182
1979/02,142.77,-0.0007
1979/03,144.34,0.0110
1979/04,144.54,0.0014
1979/05,146.99,0.0170
1979/06,149.86,0.0195
1979/07,149.66,-0.0013
1979/08,149.21,-0.0030
1979/09,149.02,-0.0013
1979/10,143.01,-0.0403
1979/11,147.29,0.0299
1979/12,148.35,0.0072
1980/01,145.89,-0.0166
1980/02,138.73,-0.0491
1980/03,140.26,0.0110
1980/04,153.61,0.0952
1980/05,159.2,0.0364
1980/06,161.47,0.0143
1980/07,159.47,-0.0124
1980/08,154.73,-0.0297
1980/09,154.07,-0.0043
1980/10,152.24,-0.0119
1980/11,152.02,-0.0014
1980/12,156.67,0.0306
1981/01,156.79,0.0008
1981/02,154.8,-0.0127
1981/03,158.68,0.0251
1981/04,154.95,-0.0235
1981/05,159.43,0.0289
1981/06,159.66,0.0014
1981/07,157.11,-0.0160
1981/08,155.41,-0.0108
1981/09,156.22,0.0052
1981/10,164.7,0.0543
1981/11,175.78,0.0673
1981/12,171.14,-0.0264
1982/01,172.24,0.0064
1982/02,174.71,0.0143
1982/03,176.68,0.0113
1982/04,180.99,0.0244
1982/05,183.63,0.0146
1982/06,181.36,-0.0124
1982/07,188.54,0.0396
1982/08,196.85,0.0441
1982/09,203.81,0.0354
1982/10,213.14,0.0458
1982/11,214.59,0.0068
1982/12,218.78,0.0195
1983/01,218.37,-0.0019
1983/02,223.96,0.0256
1983/03,223.35,-0.0027
1983/04,228.31,0.0222
1983/05,225.76,-0.0112
1983/06,226.54,0.0035
1983/07,222.33,-0.0186
1983/08,223.9,0.0071
1983/09,230.52,0.0296
1983/10,231.12,0.0026
1983/11,233.68,0.0111
1983/12,234.21,0.0023
1984/01,238.12,0.0167
1984/02,237.19,-0.0039
1984/03,235.4,-0.0075
1984/04,235.44,0.0002
1984/05,230.06,-0.0229
1984/06,232.51,0.0106
1984/07,241.6,0.0391
1984/08,245.2,0.0149
1984/09,250.25,0.0206
1984/10,259.99,0.0389
1984/11,264.31,0.0166
1984/12,268.1,0.0143
1985/01,273.6,0.0205
1985/02,268.62,-0.0182
1985/03,273.8,0.0193
1985/04,279.29,0.0201
1985/05,292.52,0.0474
1985/06,295.57,0.0104
1985/07,294.57,-0.0034
1985/08,299.43,0.0165
1985/09,301.74,0.0077
1985/10,307.62,0.0195
1985/11,314.42,0.0221
1985/12,324.16,0.0310
1986/01,325.83,0.0052
1986/02,339.72,0.0426
1986/03,353.86,0.0416
1986/04,355.29,0.0040
1986/05,346.44,-0.0249
1986/06,358.24,0.0341
1986/07,360.53,0.0064
1986/08,371.05,0.0292
1986/09,364.98,-0.0164
1986/10,370.02,0.0138
1986/11,374.23,0.0114
1986/12,374.75,0.0014
1987/01,378.85,0.0109
1987/02,381.62,0.0073
1987/03,379.11,-0.0066
1987/04,369.66,-0.0249
1987/05,368.03,-0.0044
1987/06,372.26,0.0115
1987/07,371.23,-0.0028
1987/08,369,-0.0060
1987/09,361.58,-0.0201
1987/10,376.06,0.0400
1987/11,377.72,0.0044
1987/12,382.26,0.0120
1988/01,395.04,0.0334
1988/02,399.16,0.0104
1988/03,394.7,-0.0112
1988/04,392.48,-0.0056
1988/05,389.55,-0.0075
1988/06,398.43,0.0228
1988/07,395.54,-0.0073
1988/08,396.26,0.0018
1988/09,405.1,0.0223
1988/10,412.38,0.0180
1988/11,407.35,-0.0122
1988/12,408.99,0.0040
1989/01,414.27,0.0129
1989/02,410.67,-0.0087
1989/03,413.36,0.0066
1989/04,422.27,0.0216
1989/05,432.3,0.0238
1989/06,447.11,0.0343
1989/07,456.72,0.0215
1989/08,448.8,-0.0173
1989/09,450.67,0.0042
1989/10,462.63,0.0265
1989/11,467.05,0.0096
1989/12,467.8,0.0016
1990/01,460.81,-0.0149
1990/02,461.62,0.0018
1990/03,461.47,-0.0003
1990/04,457.23,-0.0092
1990/05,470.09,0.0281
1990/06,477.54,0.0158
1990/07,483.59,0.0127
1990/08,476.63,-0.0144
