Date,Close,NominalReturn_MSCIEAFE
1973/01,146.52,0.0149
1973/02,158.27,0.0802
1973/03,158.9,0.0040
1973/04,149.63,-0.0583
1973/05,152.89,0.0218
1973/06,156.28,0.0222
1973/07,153.97,-0.0148
1973/08,145.76,-0.0533
1973/09,144.4,-0.0093
1973/10,147.13,0.0189
1973/11,125.6,-0.1463
1973/12,120.09,-0.0439
1974/01,120.55,0.0038
1974/02,124.18,0.0301
1974/03,120.59,-0.0289
1974/04,123.44,0.0236
1974/05,118.25,-0.0420
1974/06,112.52,-0.0485
1974/07,106.44,-0.0540
1974/08,95.11,-0.1064
1974/09,87.84,-0.0764
1974/10,88.24,0.0046
1974/11,90.67,0.0275
1974/12,89.35,-0.0146
1975/01,104.9,0.1740
1975/02,118.32,0.1279
1975/03,116.63,-0.0143
1975/04,121.73,0.0437
1975/05,120.39,-0.0110
1975/06,115.29,-0.0424
1975/07,110.15,-0.0446
1975/08,109.6,-0.0050
1975/09,104.23,-0.0490
1975/10,112.84,0.0826
1975/11,115.14,0.0204
1975/12,117.23,0.0182
1976/01,123.04,0.0496
1976/02,121.72,-0.0107
1976/03,119.29,-0.0200
1976/04,118.37,-0.0077
1976/05,114.8,-0.0302
1976/06,116.35,0.0135
1976/07,114.62,-0.0149
1976/08,114.31,-0.0027
1976/09,111.96,-0.0206
1976/10,104.44,-0.0672
1976/11,105.34,0.0086
1976/12,116.81,0.1089
1977/01,115.74,-0.0092
1977/02,117.9,0.0187
1977/03,117.88,-0.0002
1977/04,120.93,0.0259
1977/05,120.03,-0.0074
1977/06,122.31,0.0190
1977/07,120.07,-0.0183
1977/08,124.96,0.0407
1977/09,128.27,0.0265
1977/10,131.05,0.0217
1977/11,129.51,-0.0118
1977/12,133.88,0.0337
1978/01,135.15,0.0095
1978/02,136.25,0.0081
1978/03,145.72,0.0695
1978/04,144.2,-0.0104
1978/05,146.68,0.0172
1978/06,152.82,0.0419
1978/07,165.63,0.0838
1978/08,168.49,0.0173
1978/09,173.01,0.0268
1978/10,182.42,0.0544
1978/11,164.95,-0.0958
1978/12,172.59,0.0463
1979/01,173.11,0.0030
1979/02,171.8,-0.0076
1979/03,175.09,0.0192
1979/04,173.86,-0.0070
1979/05,169.71,-0.0239
1979/06,172.17,0.0145
1979/07,173.61,0.0084
1979/08,177.22,0.0208
1979/09,184.39,0.0405
1979/10,169.09,-0.0830
1979/11,170.59,0.0089
1979/12,175.72,0.0301
1980/01,183.58,0.0447
1980/02,182.17,-0.0077
