Date,Open,Close,NominalReturn
1901/01,6.87,7.07,0.017991431
1901/02,7.07,7.25,0.03783939
1901/03,7.25,7.51,0.035310249
1901/04,7.51,8.14,0.095954039
1901/05,8.14,7.73,-0.050313482
1901/06,7.73,8.5,0.100872599
1901/07,8.5,7.93,-0.077758917
1901/08,7.93,8.04,0.004606754
1901/09,8.04,8,-0.013884907
1901/10,8,7.91,-0.006927974
1901/11,7.91,8.08,0.01453192
1901/12,8.08,7.95,-0.020466623
1902/01,7.95,8.12,0.039126827
1902/02,8.12,8.19,0.014994774
1902/03,8.19,8.2,0.007575007
1902/04,8.2,8.48,0.030209322
1902/05,8.48,8.46,-0.004828451
1902/06,8.46,8.41,-0.007203739
1902/07,8.41,8.6,0.031865251
1902/08,8.6,8.83,0.046049826
1902/09,8.83,8.85,-0.002356055
1902/10,8.85,8.57,-0.082271126
1902/11,8.57,8.24,0.003052214
1902/12,8.24,8.05,-0.024849278
1903/01,8.05,8.46,0.050474354
1903/02,8.46,8.41,0.005070679
1903/03,8.41,8.08,0.001831026
1903/04,8.08,7.75,-0.033484526
1903/05,7.75,7.6,0.008152866
1903/06,7.6,7.18,-0.051535088
1903/07,7.18,6.85,-0.041995125
1903/08,6.85,6.63,-0.026965374
1903/09,6.63,6.47,-0.030101338
1903/10,6.47,6.26,-0.022291947
1903/11,6.26,6.28,0.015862302
1903/12,6.28,6.57,0.04607099
1904/01,6.57,6.68,-0.006073947
1904/02,6.68,6.5,-0.046471915
1904/03,6.5,6.48,0.012652882
1904/04,6.48,6.64,0.039899477
1904/05,6.64,6.5,0.005257146
1904/06,6.5,6.51,0.004795166
1904/07,6.51,6.78,0.044682617
1904/08,6.78,7.01,0.025830032
1904/09,7.01,7.32,0.03597787
1904/10,7.32,7.75,0.063312654
1904/11,7.75,8.17,0.037641134
1904/12,8.17,8.25,0.016792996
1905/01,8.25,8.43,0.026862069
1905/02,8.43,8.8,0.04698794
1905/03,8.8,9.05,0.043104814
1905/04,9.05,8.94,-0.00828545
1905/05,8.94,8.5,-0.033345084
1905/06,8.5,8.6,0.016841981
1905/07,8.6,8.87,0.036452617
1905/08,8.87,9.2,0.030336148
1905/09,9.2,9.23,0.017772658
1905/10,9.23,9.36,0.017034128
1905/11,9.36,9.31,-0.014698012
1905/12,9.31,9.54,0.016119107
1906/01,9.54,9.87,0.037524458
1906/02,9.87,9.8,-0.004207194
1906/03,9.8,9.56,-0.020593398
1906/04,9.56,9.43,-0.009577188
1906/05,9.43,9.18,-0.031362033
1906/06,9.18,9.3,0.019214164
1906/07,9.3,9.06,0.011220943
1906/08,9.06,9.73,0.054151373
1906/09,9.73,10.03,0.025444849
1906/10,10.03,9.73,-0.043179738
1906/11,9.73,9.93,0.017543408
1906/12,9.93,9.84,-0.01172097
1907/01,9.84,9.56,-0.010883849
1907/02,9.56,9.26,-0.042854558
1907/03,9.26,8.35,-0.08038289
1907/04,8.35,8.39,0.013480605
1907/05,8.39,8.1,-0.045236633
1907/06,8.1,7.84,-0.031533183
1907/07,7.84,8.14,0.05187237
1907/08,8.14,7.53,-0.063371575
1907/09,7.53,7.45,0.000395656
1907/10,7.45,6.64,-0.107745702
1907/11,6.64,6.25,-0.012075539
1907/12,6.25,6.57,0.078251088
1908/01,6.57,6.85,0.057867974
1908/02,6.85,6.6,-0.024954287
1908/03,6.6,6.87,0.042721199
1908/04,6.87,7.24,0.04469403
1908/05,7.24,7.63,0.054292016
1908/06,7.63,7.64,0.000591347
1908/07,7.64,7.92,0.025474834
1908/08,7.92,8.26,0.042878084
1908/09,8.26,8.17,-0.011159387
1908/10,8.17,8.27,0.001111645
1908/11,8.27,8.83,0.060374243
1908/12,8.83,9.03,0.018295758
1909/01,9.03,9.06,0.020465967
1909/02,9.06,8.8,-0.030706564
1909/03,8.8,8.92,0.022034873
1909/04,8.92,9.32,0.032420838
1909/05,9.32,9.63,0.032598497
1909/06,9.63,9.8,0.018015835
1909/07,9.8,9.94,0.024014618
1909/08,9.94,10.18,0.024415447
1909/09,10.18,10.19,0.002370482
1909/10,10.19,10.23,-0.003550182
1909/11,10.23,10.18,-0.002474225
1909/12,10.18,10.3,0.014092767
1910/01,10.3,10.08,0.000127809
1910/02,10.08,9.72,-0.024463908
1910/03,9.72,9.96,0.018297732
1910/04,9.96,9.72,-0.021278677
1910/05,9.72,9.56,0.011988783
1910/06,9.56,9.1,-0.030843733
1910/07,9.1,8.64,-0.042245383
1910/08,8.64,8.85,0.041198213
1910/09,8.85,8.91,0.021871339
1910/10,8.91,9.32,0.078896232
1910/11,9.32,9.31,0.018003764
1910/12,9.31,9.05,-0.030303027
1911/01,9.05,9.27,0.02284687
1911/02,9.27,9.43,0.045693614
1911/03,9.43,9.32,-0.027049295
1911/04,9.32,9.28,0.020006215
1911/05,9.28,9.48,0.014818319
1911/06,9.48,9.67,0.014008942
1911/07,9.67,9.63,-0.020104228
1911/08,9.63,9.17,-0.079438384
1911/09,9.17,8.67,-0.064219263
1911/10,8.67,8.72,0.008584858
1911/11,8.72,9.07,0.054641078
1911/12,9.07,9.11,0.0176145
1912/01,9.11,9.12,-0.005933417
